"longitude,latitude",longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,num_ocean_proximity,ocean_proximity
-115.52 ; 34.22,-115.52,34.22,30.0,540.0,136.0,122.0,63.0,1.3333,42500.0,1.0,INLAND
-115.53 ; 32.73,-115.53,32.73,14.0,1527.0,325.0,1453.0,332.0,1.735,61200.0,1.0,INLAND
-115.53 ; 32.97,-115.53,32.97,34.5,1907.0,442.5,1250.5,414.0,1.964,65500.0,1.0,INLAND
-115.53 ; 32.99,-115.53,32.99,25.0,2578.0,634.0,2082.0,565.0,1.7159,62200.0,1.0,INLAND
-115.54 ; 32.79,-115.54,32.79,26.5,1232.0,298.5,1051.5,281.5,1.4678499999999999,58250.0,1.0,INLAND
-115.54 ; 32.97,-115.54,32.97,41.0,2429.0,454.0,1188.0,430.0,3.0091,70800.0,1.0,INLAND
-115.54 ; 32.98,-115.54,32.98,27.0,1513.0,395.0,1121.0,381.0,1.9464,60600.0,1.0,INLAND
-115.54 ; 32.99,-115.54,32.99,20.0,1578.0,320.5,1029.5,321.0,2.94475,82700.0,1.0,INLAND
-115.55 ; 32.78,-115.55,32.78,5.0,2652.0,606.0,1767.0,536.0,2.8025,84300.0,1.0,INLAND
-115.55 ; 32.79,-115.55,32.79,22.5,784.5,191.5,694.5,171.0,1.4217,56600.0,1.0,INLAND
-115.55 ; 32.8,-115.55,32.8,23.0,666.0,142.0,580.0,160.0,2.1136,61000.0,1.0,INLAND
-115.55 ; 32.82,-115.55,32.82,34.0,1540.0,316.0,1013.0,274.0,2.5664,67500.0,1.0,INLAND
-115.55 ; 32.98,-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5.4349,143000.0,1.0,INLAND
-115.56 ; 32.76,-115.56,32.76,15.0,1278.0,217.0,653.0,185.0,4.4821,140300.0,1.0,INLAND
-115.56 ; 32.78,-115.56,32.78,36.0,2030.0,382.5,1168.25,356.75,3.510925,77350.0,1.0,INLAND
-115.56 ; 32.79,-115.56,32.79,18.0,1178.0,438.0,1377.0,429.0,1.3373,58300.0,1.0,INLAND
-115.56 ; 32.8,-115.56,32.8,22.666666666666668,1384.6666666666667,373.0,1184.0,348.6666666666667,1.7282666666666666,64233.333333333336,1.0,INLAND
-115.57 ; 32.78,-115.57,32.78,23.0,1913.6666666666667,315.6666666666667,1037.0,323.0,4.4892,91166.66666666667,1.0,INLAND
-115.57 ; 32.79,-115.57,32.79,50.0,1291.0,277.0,864.0,274.0,1.6667,68100.0,1.0,INLAND
-115.57 ; 32.8,-115.57,32.8,20.5,1566.75,398.0,1201.5,369.75,2.337625,76225.0,1.0,INLAND
-115.57 ; 32.85,-115.57,32.85,25.0,1202.0,262.5,776.5,248.0,2.49035,62900.0,1.0,INLAND
-115.58 ; 32.78,-115.58,32.78,5.0,2494.0,414.0,1416.0,421.0,5.7843,110100.0,1.0,INLAND
-115.58 ; 32.79,-115.58,32.79,14.0,1687.0,507.0,762.0,451.0,1.6635,64400.0,1.0,INLAND
-115.58 ; 32.81,-115.58,32.81,7.5,946.5,173.0,495.5,172.0,4.067349999999999,91900.0,1.0,INLAND
-115.58 ; 33.88,-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3.1827,71700.0,1.0,INLAND
-115.59 ; 32.69,-115.59,32.69,30.0,935.0,177.0,649.0,148.0,2.5769,94400.0,1.0,INLAND
-115.59 ; 32.79,-115.59,32.79,8.0,2183.0,307.0,1000.0,287.0,6.3814,159900.0,1.0,INLAND
-115.59 ; 32.96,-115.59,32.96,17.0,841.0,146.0,473.0,154.0,3.1979,113500.0,1.0,INLAND
-115.6 ; 32.87,-115.6,32.87,3.0,1629.0,317.0,1005.0,312.0,4.1293,83200.0,1.0,INLAND
-115.6 ; 33.2,-115.6,33.2,37.0,709.0,187.0,390.0,142.0,2.4511,72500.0,1.0,INLAND
-115.62 ; 33.04,-115.62,33.04,18.5,1065.0,237.5,755.5,223.5,2.1715999999999998,61600.0,1.0,INLAND
-115.64 ; 32.75,-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,112500.0,1.0,INLAND
-115.64 ; 32.8,-115.64,32.8,23.0,1228.0,235.0,569.0,235.0,3.1667,125000.0,1.0,INLAND
-115.69 ; 32.79,-115.69,32.79,18.0,1564.0,340.0,1161.0,343.0,2.1792,55200.0,1.0,INLAND
-115.72 ; 32.75,-115.72,32.75,16.0,348.0,99.0,123.0,54.0,2.0938,87500.0,1.0,INLAND
-115.73 ; 33.09,-115.73,33.09,27.0,452.0,103.0,258.0,61.0,2.9,87500.0,1.0,INLAND
-115.73 ; 33.35,-115.73,33.35,23.0,1586.0,448.0,338.0,182.0,1.2132,30000.0,1.0,INLAND
-115.73 ; 33.36,-115.73,33.36,19.0,749.0,238.0,476.0,169.0,1.7727,50000.0,1.0,INLAND
-115.75 ; 35.23,-115.75,35.23,5.0,208.0,78.0,132.0,56.0,2.5333,75000.0,1.0,INLAND
-115.8 ; 33.26,-115.8,33.26,2.0,96.0,18.0,30.0,16.0,5.3374,47500.0,1.0,INLAND
-115.84 ; 33.49,-115.84,33.49,20.0,1660.0,379.0,637.0,250.0,2.0347,68900.0,1.0,INLAND
-115.85 ; 34.2,-115.85,34.2,34.0,3868.0,1257.0,890.0,423.0,1.3571,41000.0,1.0,INLAND
-115.88 ; 32.93,-115.88,32.93,15.0,208.0,49.0,51.0,20.0,4.0208,32500.0,1.0,INLAND
-115.9 ; 32.69,-115.9,32.69,18.0,414.0,86.0,98.0,54.0,1.5417,57500.0,1.0,INLAND
-115.9 ; 33.34,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857,62800.0,1.0,INLAND
-115.91 ; 33.36,-115.91,33.36,15.0,459.0,95.0,160.0,73.0,0.922,67500.0,1.0,INLAND
-115.94 ; 33.38,-115.94,33.38,5.0,186.0,43.0,41.0,21.0,2.7,58800.0,1.0,INLAND
-115.95 ; 33.28,-115.95,33.28,12.0,99.0,25.0,37.0,17.0,1.8958,53800.0,1.0,INLAND
-115.96 ; 33.3,-115.96,33.3,27.0,322.0,81.0,112.0,57.0,1.125,54400.0,1.0,INLAND
-115.98 ; 33.32,-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1.4688,53800.0,1.0,INLAND
-115.99 ; 33.4,-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2.0109,54300.0,1.0,INLAND
-116.0 ; 33.19,-116.0,33.19,16.0,245.0,57.0,81.0,33.0,1.2639,51300.0,1.0,INLAND
-116.0 ; 34.12,-116.0,34.12,32.0,3163.0,712.0,1358.0,544.0,2.125,57700.0,1.0,INLAND
-116.01 ; 33.41,-116.01,33.41,20.0,1996.0,515.0,659.0,295.0,2.8684,62800.0,1.0,INLAND
-116.01 ; 33.51,-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1.7344,66400.0,1.0,INLAND
-116.05 ; 33.33,-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1.7292,81300.0,1.0,INLAND
-116.05 ; 34.12,-116.05,34.12,19.0,301.0,65.0,150.0,56.0,3.125,65600.0,1.0,INLAND
-116.06 ; 34.2,-116.06,34.2,29.0,1202.0,290.0,383.0,156.0,1.3371,66900.0,1.0,INLAND
-116.08 ; 33.86,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425,76100.0,1.0,INLAND
-116.09 ; 34.15,-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111,65600.0,1.0,INLAND
-116.11 ; 33.64,-116.11,33.64,20.0,1273.0,354.0,1548.0,355.0,2.0871,84700.0,1.0,INLAND
-116.12 ; 33.53,-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1.654,100000.0,1.0,INLAND
-116.14 ; 34.22,-116.14,34.22,32.0,3298.0,1228.0,763.0,360.0,1.875,47800.0,1.0,INLAND
-116.14 ; 34.45,-116.14,34.45,12.0,8796.0,1721.0,11139.0,1680.0,2.2612,137500.0,1.0,INLAND
-116.15 ; 33.64,-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1.6557,65400.0,1.0,INLAND
-116.15 ; 33.69,-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2.9286,112500.0,1.0,INLAND
-116.15 ; 34.14,-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3.0139,82600.0,1.0,INLAND
-116.16 ; 33.68,-116.16,33.68,12.0,1230.0,277.0,1334.0,260.0,2.2679,61400.0,1.0,INLAND
-116.17 ; 33.53,-116.17,33.53,13.0,1713.0,512.0,1978.0,442.0,2.1287,58600.0,1.0,INLAND
-116.17 ; 33.66,-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,47500.0,1.0,INLAND
-116.17 ; 33.67,-116.17,33.67,18.0,3585.0,800.0,3873.0,788.0,2.5714,65900.0,1.0,INLAND
-116.18 ; 33.69,-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375,155000.0,1.0,INLAND
-116.19 ; 33.67,-116.19,33.67,16.0,1859.0,476.0,1994.0,477.0,1.7297,67500.0,1.0,INLAND
-116.19 ; 33.69,-116.19,33.69,11.0,5692.0,1346.0,5682.0,1273.0,2.5383,74000.0,1.0,INLAND
-116.2 ; 32.64,-116.2,32.64,28.0,1608.0,409.0,567.0,254.0,1.4648,61800.0,1.0,INLAND
-116.2 ; 33.63,-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2.5,96300.0,1.0,INLAND
-116.2 ; 33.7,-116.2,33.7,26.0,2399.0,625.0,2654.0,535.0,2.2989,60600.0,1.0,INLAND
-116.21 ; 33.66,-116.21,33.66,19.0,1596.0,295.0,1201.0,282.0,3.8846,100900.0,1.0,INLAND
-116.21 ; 33.68,-116.21,33.68,34.0,584.0,176.0,625.0,166.0,1.5809,100000.0,1.0,INLAND
-116.21 ; 33.71,-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1.7083,82200.0,1.0,INLAND
-116.21 ; 33.72,-116.21,33.72,28.0,2488.0,714.0,2891.0,676.0,2.3169,68900.0,1.0,INLAND
-116.22 ; 33.7,-116.22,33.7,9.0,3861.0,849.0,825.0,401.0,3.2833,124700.0,1.0,INLAND
-116.22 ; 33.73,-116.22,33.73,38.0,1695.0,352.0,1279.0,305.0,2.1217,68500.0,1.0,INLAND
-116.22 ; 33.74,-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107,69400.0,1.0,INLAND
-116.22 ; 36.0,-116.22,36.0,14.0,1372.0,386.0,436.0,213.0,1.1471,32900.0,1.0,INLAND
-116.23 ; 33.71,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2.444,90000.0,1.0,INLAND
-116.23 ; 33.72,-116.23,33.72,32.0,4981.0,1326.0,3779.0,1186.0,1.7805,76900.0,1.0,INLAND
-116.24 ; 33.71,-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2.7598,95000.0,1.0,INLAND
-116.24 ; 33.72,-116.24,33.72,25.0,5236.0,1039.0,2725.0,935.0,3.775,93400.0,1.0,INLAND
-116.24 ; 33.73,-116.24,33.73,14.0,2774.0,566.0,1530.0,505.0,3.0682,104100.0,1.0,INLAND
-116.25 ; 33.68,-116.25,33.68,16.0,926.0,189.0,238.0,118.0,3.0114,366700.0,1.0,INLAND
-116.25 ; 33.69,-116.25,33.69,5.0,1664.0,444.0,907.0,374.0,2.7667,92900.0,1.0,INLAND
-116.25 ; 33.75,-116.25,33.75,33.0,278.0,91.0,375.0,81.0,2.025,50000.0,1.0,INLAND
-116.25 ; 33.81,-116.25,33.81,24.0,880.0,187.0,507.0,169.0,3.4583,67500.0,1.0,INLAND
-116.26 ; 33.65,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948,382400.0,1.0,INLAND
-116.26 ; 33.72,-116.26,33.72,10.0,9404.0,1827.0,3208.0,1283.0,3.1086,105800.0,1.0,INLAND
-116.28 ; 32.84,-116.28,32.84,18.0,382.0,128.0,194.0,69.0,2.5179,58800.0,1.0,INLAND
-116.29 ; 33.67,-116.29,33.67,12.0,5048.0,842.0,883.0,391.0,5.6918,231300.0,1.0,INLAND
-116.29 ; 33.72,-116.29,33.72,5.0,3584.0,760.0,1097.0,470.0,3.1771,167400.0,1.0,INLAND
-116.29 ; 34.18,-116.29,34.18,15.0,4203.0,966.0,1756.0,695.0,2.182,60800.0,1.0,INLAND
-116.3 ; 33.68,-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2.8882,137500.0,1.0,INLAND
-116.31 ; 33.65,-116.31,33.65,8.0,3079.0,558.0,1572.0,474.0,4.5938,102600.0,1.0,INLAND
-116.31 ; 33.66,-116.31,33.66,7.0,4497.0,831.0,2248.0,713.0,3.6354,98000.0,1.0,INLAND
-116.31 ; 33.67,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2.9187,93400.0,1.0,INLAND
-116.31 ; 33.73,-116.31,33.73,19.0,12467.0,2508.0,4086.0,1761.0,3.2846,131900.0,1.0,INLAND
-116.32 ; 33.28,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3.3625,100000.0,1.0,INLAND
-116.32 ; 34.1,-116.32,34.1,10.0,4256.0,861.0,1403.0,686.0,2.6618,81000.0,1.0,INLAND
-116.32 ; 34.14,-116.32,34.14,18.0,1880.0,487.0,994.0,425.0,1.69,54200.0,1.0,INLAND
-116.33 ; 33.72,-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7.4382,353100.0,1.0,INLAND
-116.33 ; 33.75,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036,158500.0,1.0,INLAND
-116.33 ; 34.15,-116.33,34.15,13.0,1808.0,411.0,735.0,320.0,1.5489,57400.0,1.0,INLAND
-116.34 ; 33.36,-116.34,33.36,24.0,2746.0,514.0,731.0,295.0,3.3214,176400.0,1.0,INLAND
-116.35 ; 32.74,-116.35,32.74,16.0,2595.0,606.0,1046.0,367.0,1.7137,110700.0,1.0,INLAND
-116.35 ; 34.13,-116.35,34.13,9.0,1969.0,406.0,805.0,349.0,1.5491,62300.0,1.0,INLAND
-116.36 ; 33.78,-116.36,33.78,6.0,24121.0,4522.0,4176.0,2221.0,3.3799,239300.0,1.0,INLAND
-116.36 ; 33.88,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844,78500.0,1.0,INLAND
-116.37 ; 33.19,-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2.5795,98700.0,1.0,INLAND
-116.37 ; 33.69,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005,318100.0,1.0,INLAND
-116.37 ; 33.72,-116.37,33.72,18.0,7408.0,1607.0,2869.5,1190.0,3.15705,136800.0,1.0,INLAND
-116.38 ; 33.71,-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556,258100.0,1.0,INLAND
-116.38 ; 33.74,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,194500.0,1.0,INLAND
-116.38 ; 34.1,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4.1458,116300.0,1.0,INLAND
-116.39 ; 34.15,-116.39,34.15,15.0,5583.0,1149.0,2709.0,964.0,1.9779,73300.0,1.0,INLAND
-116.4 ; 33.78,-116.4,33.78,8.0,3059.0,500.0,612.0,208.0,6.8729,259200.0,1.0,INLAND
-116.4 ; 34.12,-116.4,34.12,16.0,5648.0,1089.0,2524.0,1008.0,2.6739,78000.0,1.0,INLAND
-116.41 ; 33.74,-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2.4659,177800.0,1.0,INLAND
-116.42 ; 33.51,-116.42,33.51,26.0,186.0,48.0,102.0,39.0,2.5625,103100.0,1.0,INLAND
-116.42 ; 33.68,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2.2208,138300.0,1.0,INLAND
-116.42 ; 33.79,-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4.9444,285000.0,1.0,INLAND
-116.43 ; 33.75,-116.43,33.75,24.0,2596.0,438.0,473.0,237.0,3.7727,500001.0,1.0,INLAND
-116.43 ; 33.78,-116.43,33.78,17.0,4293.0,712.0,1091.0,464.0,6.1437,232100.0,1.0,INLAND
-116.43 ; 33.81,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223,115100.0,1.0,INLAND
-116.43 ; 34.1,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828,84000.0,1.0,INLAND
-116.44 ; 33.74,-116.44,33.74,5.0,846.0,249.0,117.0,67.0,7.9885,403300.0,1.0,INLAND
-116.44 ; 33.77,-116.44,33.77,18.0,4872.0,1110.0,955.0,656.0,2.2439,97500.0,1.0,INLAND
-116.44 ; 33.93,-116.44,33.93,17.0,5293.0,1266.0,1201.0,599.0,1.6849,88400.0,1.0,INLAND
-116.44 ; 34.12,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1.5823,72400.0,1.0,INLAND
-116.44 ; 34.16,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2.8929,98100.0,1.0,INLAND
-116.45 ; 32.65,-116.45,32.65,22.0,2680.0,643.0,1644.0,516.0,2.1949,127100.0,1.0,INLAND
-116.45 ; 33.78,-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859,134600.0,1.0,INLAND
-116.45 ; 33.8,-116.45,33.8,9.0,5534.0,1206.0,2283.0,1008.0,3.6161,99100.0,1.0,INLAND
-116.46 ; 33.78,-116.46,33.78,29.0,1851.0,579.5,1452.5,439.0,1.9639,69000.0,1.0,INLAND
-116.46 ; 33.79,-116.46,33.79,10.0,6960.0,1487.0,1130.0,661.0,2.1411,136400.0,1.0,INLAND
-116.46 ; 33.82,-116.46,33.82,6.0,4863.0,920.0,3010.0,828.0,3.9508,104200.0,1.0,INLAND
-116.47 ; 33.77,-116.47,33.77,26.0,4300.0,767.0,1557.0,669.0,4.4107,122500.0,1.0,INLAND
-116.47 ; 33.78,-116.47,33.78,27.0,1781.0,441.0,759.0,340.0,3.3162,113600.0,1.0,INLAND
-116.47 ; 33.81,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,90900.0,1.0,INLAND
-116.47 ; 33.84,-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111,142500.0,1.0,INLAND
-116.47 ; 33.94,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3.2578,85200.0,1.0,INLAND
-116.48 ; 33.61,-116.48,33.61,8.0,1294.0,272.0,457.0,199.0,2.9167,115300.0,1.0,INLAND
-116.48 ; 33.79,-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2.6298,145200.0,1.0,INLAND
-116.48 ; 33.8,-116.48,33.8,15.0,3004.0,615.0,437.0,210.0,3.6667,90000.0,1.0,INLAND
-116.48 ; 33.84,-116.48,33.84,5.0,5480.0,1371.0,1050.0,485.0,1.7204,137500.0,1.0,INLAND
-116.48 ; 33.94,-116.48,33.94,10.0,3254.0,913.0,923.0,486.0,1.8,81000.0,1.0,INLAND
-116.48 ; 33.96,-116.48,33.96,11.0,1381.0,300.0,644.0,248.0,2.3382,89400.0,1.0,INLAND
-116.49 ; 33.8,-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396,148900.0,1.0,INLAND
-116.5 ; 33.69,-116.5,33.69,20.0,4810.0,1074.0,1304.0,740.0,2.25,248100.0,1.0,INLAND
-116.5 ; 33.81,-116.5,33.81,26.0,5032.0,1229.0,3086.0,1183.0,2.5399,94800.0,1.0,INLAND
-116.5 ; 33.82,-116.5,33.82,16.0,343.0,85.0,29.0,14.0,2.1042,87500.0,1.0,INLAND
-116.5 ; 33.95,-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,66600.0,1.0,INLAND
-116.51 ; 33.84,-116.51,33.84,16.0,980.0,193.0,454.0,185.0,4.0729,100000.0,1.0,INLAND
-116.51 ; 33.89,-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1.95,61000.0,1.0,INLAND
-116.51 ; 33.94,-116.51,33.94,12.0,3369.0,780.0,1315.0,584.0,1.7388,66000.0,1.0,INLAND
-116.51 ; 33.96,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665,61100.0,1.0,INLAND
-116.51 ; 34.45,-116.51,34.45,21.0,8502.0,2634.0,2330.0,991.0,1.3811,51300.0,1.0,INLAND
-116.51 ; 34.85,-116.51,34.85,15.0,3149.0,713.0,1281.0,486.0,2.0,64700.0,1.0,INLAND
-116.52 ; 32.9,-116.52,32.9,18.0,4454.0,852.0,1754.0,656.0,4.57,189900.0,1.0,INLAND
-116.52 ; 33.81,-116.52,33.81,12.0,12396.0,2552.0,2548.0,1265.0,3.4394,162200.0,1.0,INLAND
-116.52 ; 33.82,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212,145200.0,1.0,INLAND
-116.52 ; 33.84,-116.52,33.84,17.0,4465.0,859.0,853.0,445.0,3.6875,130400.0,1.0,INLAND
-116.52 ; 33.85,-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3.4886,112500.0,1.0,INLAND
-116.53 ; 33.78,-116.53,33.78,18.0,2547.0,463.0,411.0,214.0,2.5489,220500.0,1.0,INLAND
